"emp_no","first_name","last_name","hire_date"
10001,"Georgi","Facello","6/26/1986"
10003,"Parto","Bamford","8/28/1986"
10004,"Chirstian","Koblick","12/1/1986"
10053,"Sanjiv","Zschoche","2/4/1986"
10066,"Kwee","Schusler","2/26/1986"
10079,"Kshitij","Gils","3/27/1986"
10081,"Zhongwei","Rosen","10/30/1986"
10087,"Xinglin","Eugenio","9/8/1986"
10089,"Sudharsan","Flasterstein","8/12/1986"
10090,"Kendra","Hofting","3/14/1986"
10095,"Hilari","Morton","7/15/1986"
10103,"Akemi","Birch","12/2/1986"
10108,"Lunjin","Giveon","10/2/1986"
10110,"Xuejia","Ullian","8/22/1986"
10115,"Chikara","Rissland","1/23/1986"
10119,"Domenick","Peltason","3/14/1986"
10136,"Zissis","Pintelas","2/11/1986"
10138,"Perry","Shimshoni","9/18/1986"
10147,"Kazuhito","Encarnacion","8/21/1986"
10149,"Xiadong","Perry","11/5/1986"
10150,"Zhenbing","Perng","11/16/1986"
10152,"Jaques","Munro","1/27/1986"
10158,"Khedija","Mitsuhashi","1/29/1986"
10168,"Dharmaraja","Stassinopoulos","12/6/1986"
10170,"Kasturi","Jenevein","1/2/1986"
10178,"Valery","Litvinov","10/7/1986"
10180,"Shaw","Wendorf","2/25/1986"
10185,"Duro","Sidhu","3/1/1986"
10186,"Shigehito","Kropatsch","3/28/1986"
10190,"Arve","Fairtlough","6/23/1986"
10191,"Zdislav","Nastansky","4/10/1986"
10201,"Idoia","Kavraki","11/22/1986"
10204,"Nevio","Ritcey","12/4/1986"
10217,"Yongmin","Roison","5/12/1986"
10222,"Tze","Nourani","6/8/1986"
10225,"Kellie","Chinen","6/19/1986"
10238,"Mototsugu","Gire","11/19/1986"
10257,"Aiman","Riexinger","8/5/1986"
10259,"Susanna","Vesel","6/25/1986"
10268,"Nishit","Siochi","12/17/1986"
10271,"Sham","Eastman","5/23/1986"
10282,"Hercules","Benzmuller","6/4/1986"
10291,"Dipayan","Seghrouchni","9/29/1986"
10297,"Narain","Oaver","5/28/1986"
10302,"Faiza","Baer","7/22/1986"
10312,"Rasiah","Deyuan","8/28/1986"
10314,"Christfried","Apsitis","1/16/1986"
10317,"Arie","Birge","12/10/1986"
10329,"Remko","Shigei","1/20/1986"
10361,"Seshu","Sidou","10/23/1986"
10369,"Qunsheng","Toyoshima","5/17/1986"
10384,"Feiyu","Luft","1/16/1986"
10396,"Sibyl","Rahier","1/11/1986"
10412,"Masoud","Fabrizio","5/6/1986"
10429,"Martien","Improta","3/9/1986"
10435,"Marsha","Tagansky","12/19/1986"
10494,"Yakkov","Servieres","1/18/1986"
10512,"Udi","Gihr","1/12/1986"
10519,"Yonghoan","Alencar","3/22/1986"
10522,"Marke","Cesareni","12/12/1986"
10532,"Mary","Wossner","5/18/1986"
10533,"Mohamadou","Smailagic","10/31/1986"
10541,"Godehard","Eiter","2/28/1986"
10548,"Ramalingam","Gunderson","5/4/1986"
10557,"Sashi","Karlin","3/31/1986"
10564,"Jianhao","Thisen","5/8/1986"
10582,"Shmuel","Juneja","6/22/1986"
10584,"Mana","Papastamatiou","2/17/1986"
10585,"Sajjad","Willoner","1/5/1986"
10590,"Yongqiao","Kalloufi","4/9/1986"
10608,"Adhemar","Talmor","5/25/1986"
10629,"Lalit","Francisci","1/30/1986"
10642,"Hirochika","Narlikar","8/6/1986"
10662,"Arto","Serra","9/28/1986"
10672,"Bluma","Zeilberger","7/13/1986"
10676,"Valeri","Danley","3/20/1986"
10680,"Kish","Honglei","6/20/1986"
10693,"Berhard","Daescu","1/8/1986"
10701,"Hyuncheol","Zolotykh","10/27/1986"
10709,"Jiafu","Mateescu","2/2/1986"
10713,"Jagoda","Naumovich","4/26/1986"
10729,"Percy","Lorho","4/20/1986"
10757,"Florina","Simkin","1/6/1986"
10776,"Mahmut","Skafidas","3/16/1986"
10778,"Selwyn","Merey","7/4/1986"
10807,"Munehiro","Zallocco","10/23/1986"
10819,"Pascal","Sooriamurthi","8/2/1986"
10820,"Baocai","Pena","2/23/1986"
10822,"Masaru","Passino","1/11/1986"
10828,"Godehard","Gammage","2/14/1986"
10832,"Hidde","Bergere","10/11/1986"
10837,"Chuanti","Karlin","1/14/1986"
10842,"Berni","Sanella","7/14/1986"
